GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2000,28
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2001,28
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2002,27
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2003,30
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2004,30
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2005,29
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2006,30
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2007,28
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2008,32
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2009,36
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2010,36
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2011,35
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2012,36
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2013,34
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2014,46
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2015,46
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2016,46
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2017,48
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2018,46
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2019,42
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2020,51
Obfelden,Gemeindebeitrag an ZVV [Fr./Einw.],2021,58
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],1994,38
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],1995,38
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],1996,41
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],1997,41
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],1998,37
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],1999,34
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2000,33
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2001,33
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2002,29
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2003,34
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2004,34
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2005,34
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2006,34
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2007,30
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2008,34
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2009,39
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2010,40
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2011,41
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2012,44
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2013,42
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2014,44
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2015,44
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2016,44
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2017,50
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2018,50
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2019,47
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2020,56
Ottenbach,Gemeindebeitrag an ZVV [Fr./Einw.],2021,62
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],1994,56
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],1995,57
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],1996,66
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],1997,64
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],1998,57
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],1999,52
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2000,50
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2001,48
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2002,44
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2003,47
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2004,48
